Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS Version,ADAS/ADS Version - Unknown,ADAS/ADS Version CBI,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude  - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
945-4252,1,"Nissan North America, Inc.",Monthly,10,2022,NOV-2022,5N1AT3BA0MC, ,N/A,Nissan,Rogue SV, ,2021, ,01eb2506b72416c,14326, ,Consumer,ProPilot Assist, , ,No,ADAS,, ,Y, , ,Y, , , ,,JUL-2022, ,OCT-2022,17:00, ,ee7ebbf628c0746,,Y,,Y,,Y,Grovetown, ,GA ,,Y,Unknown,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Other Fixed Object,Minor,Unknown,,,, , , , , , , , , , , ,Making Right Turn,No,Yes,Unknown,45, , , ,Y, , , , , , , , , , , ,Y, , , , ,Unknown,,Y,Yes,,Y,,Y,,Y,"No, see Narrative", ,"8/[XXX]/2022: The customer called Consumer Affairs to report an incident on 7/[XXX]/2022. The customer alleged an autopilot malfunction caused the vehicle to move to the opposite side of traffic flow and hit two curves. There was no report of transport to a hospital for medical treatment, fatality, vehicle tow-away, air bag deployment, or vulnerable road user. Customer refused to respond to additional questions to schedule an inspection and terminated the call.
9/[XXX]/2022: The customer called Consumer Affairs alleging that while traveling 45-47 mph she attempted to disengage autopilot by pressing the brake in order to make a left turn. The speed was not reduced and the vehicle traveled to the left side of the road in the oncoming lane and hit the curb with the left side of the vehicle. There was no report of transport to a hospital for medical treatment, fatality, vehicle tow-away, air bag deployment, or vulnerable road user.
10/[XXX]/2022: The customer was called by Consumer Affairs to discuss a vehicle inspection.  During the call, she reported the vehicle hit some items on the side of the road, the wheels were bent, and the drivers door would not open properly. The customer reported that the vehicle was towed and that repairs are close to being completed.  In addition, she reported that although she was not injured, she went to the doctor and hospital for exacerbation of pre-existing conditions.
On October [XXX], 2022, Nissan inspected the vehicle at an independent repair facility, which is the location that the customer had the vehicle directly towed to after the incident. From pictures provided by the repair facility, Nissan identified possible damage to the center of the vehicles left front wheel, a broken lower front control arm, a bent tie rod end, and the strut. No other incident-related body damage is visible in the photographs. The photos appear to show that the vehicle experienced a localized impact to the wheel, which generated force into in the location of the lower control arm.
During Nissans in-person inspection of the vehicle, the vehicle repairs were near completion. In particular, the left front wheel was not available to Nissan at the time of inspection. Vehicle mileage at the time of inspection was 14,326. No data retrieval or ECU resets were performed by Nissan. As of this report, the vehicle has not been taken to a Nissan dealer.
Based on the photos reviewed and Nissans inspection, the localized impact was insufficient to trigger an EDR recordable event. Therefore, Nissan is unable to determine customer inputs to the vehicle at the time of the incident. Separately, no event was recorded within the PPA system, indicating that PPA was not active at the time of the event.
November [XXX], 2022: Based on the information provided from the customer, the PPA system was not being used on a limited access road, which is outside of the limitations of the ODD.", 
1243-4002,3,"Subaru of America, Inc.",Monthly Update,11,2022,NOV-2022,JF2SKARC5MH, ,N/A,Subaru,Forester, ,2021, ,601dce1b92b80d9,22974, ,Consumer,,Y, ,No,ADAS,, ,Y, , , , , , ,,OCT-2022, ,OCT-2022,12:50, ,7a34be589143ad8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Luis Obispo, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Daylight,Y, , , , , , ,Y,Windy,Van,Unknown,Yes,Proceeding Straight,No,No,Y, , , , , , , , , , ,Changing Lanes,Yes,Yes,Yes,73, , , , , ,Y, , , ,Y, , ,Y,Y,Y, , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"Unknown, see Narrative", ,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4266,1,"Tesla, Inc.",1-Day,,,NOV-2022,5YJYGAEE2MF, ,N/A,Tesla,Model Y, ,2021, ,9dfbf48e28e1157,21814, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,18:50, ,a0dea44c0788116,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Bethesda, ,MD ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Unknown,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4265,1,"Tesla, Inc.",1-Day,,,NOV-2022,5YJ3E1EBXMF, ,N/A,Tesla,Model 3, ,2021, ,f5a12285f9448fe,23911, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,16:27, ,27ad4d770d5bdaf,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Los Angeles, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Unknown,Unknown,,Y,Unknown, , , , , , ,Y, ,,Unknown,Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Unknown,Yes,Yes,Unknown,,Y, , , , , , , , , , ,Y,Y, , , , , , , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4195,2,"Tesla, Inc.",10-Day Update,,,NOV-2022,7SAXCBE69NF, ,N/A,Tesla,Model X, ,2022, ,de9121935f39c09,10036, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,23:08, ,3a9b620a9abb2e8,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Marfa, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,55, ,Daylight, , ,Y, , , , , ,,Passenger Car,Unknown,Yes,"Other, see Narrative",Unknown,Unknown, ,Y,Y, , ,Y, , , , , ,Proceeding Straight,Yes,Unknown,Unknown,33, , , , , , , , ,Y,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4187,2,"Tesla, Inc.",10-Day Update,,,NOV-2022,5YJXCBE23JF, ,N/A,Tesla,Model X, ,2018, ,399645a9640745a,42183, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,12:20, ,dbf589ec0b61ee6,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Austin, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted, , ,Y, , , , , ,,SUV,Unknown,Yes,Making Left Turn,Yes,Unknown, , ,Y, , ,Y, , , , , ,Proceeding Straight,Yes,Unknown,Unknown,32, ,Y,Y,Y, , , , , , , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4190,2,"Tesla, Inc.",10-Day Update,,,NOV-2022,5YJYGDEE9MF, ,N/A,Tesla,Model Y, ,2021, ,f76e8415edc7ad6,23520, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,15:29, ,c8fcc5b3980c1e4,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Houston, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,45, ,Daylight, , ,Y, , , , , ,,"Other, see Narrative",Unknown,Yes,"Other, see Narrative",Unknown,Unknown,Y, , ,Y, , , , , , , ,Proceeding Straight,Yes,Unknown,Unknown,22, , , ,Y, , ,Y, , , , , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4194,2,"Tesla, Inc.",10-Day Update,,,NOV-2022,5YJYGDEE3MF, ,N/A,Tesla,Model Y, ,2021, ,83a6a284c97f0ce,45519, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,15:26, ,17b600ed8d11a5f,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Dos Palos, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Wet,No Unusual Conditions,65, ,Daylight, , ,Y, ,Y, , , ,,"Other, see Narrative",Unknown,Yes,Unknown,Unknown,Unknown, , , , , , , , , , ,Y,Proceeding Straight,Yes,Unknown,Unknown,29, , ,Y,Y, , , , , , ,Y, ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4193,2,"Tesla, Inc.",10-Day Update,,,NOV-2022,5YJ3E1EB3NF, ,N/A,Tesla,Model 3, ,2022, ,86377cb46bf4a5f,13847, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,16:40, ,cc552c9eaa2f637,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Bernardino, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Wet,No Unusual Conditions,65, ,Daylight, , ,Y, ,Y, , , ,,Other Fixed Object,Unknown,Yes,,,, , , , , , , , , , , ,Proceeding Straight,Yes,Unknown,Unknown,17, , , , , , , ,Y,Y,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
13781-4196,2,"Tesla, Inc.",10-Day Update,,,NOV-2022,5YJYGDEE0MF, ,N/A,Tesla,Model Y, ,2021, ,b1ce923f11772e6,27411, ,Consumer,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]", ,Y,No,ADAS,, , ,Y, , , , , ,,NOV-2022, ,NOV-2022,03:21, ,57832b5fdbd56bf,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Diego, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Wet,No Unusual Conditions,55, ,Dark - Lighted, , ,Y, ,Y, , , ,,Other Fixed Object,Unknown,Yes,,,, , , , , , , , , , , ,Proceeding Straight,Yes,Unknown,Unknown,28, , , ,Y, , ,Y, , ,Y, , ,Y, ,Y, ,Y,Y, , ,Unknown,,Y,Unknown,,Y,,Y,,Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y,"[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]",Y
